Compas,Pitch,Roll,AccX,AccY,AccZ,Timer2,temps,Comportement
2985,40,13,4384,13152,9712,28250,12.598875,D_S_TI
2982,40,13,2000,11472,10928,28251,12.6128785,D_S_TI
2979,40,13,1376,10752,11216,28252,12.626882,D_S_TI
2973,41,12,1200,10752,12464,28253,12.6408855,D_S_TI
2955,41,11,464,10432,13344,28254,12.654889,D_S_TI
2945,41,11,-80,10080,13168,28255,12.6688925,D_S_TI
2934,41,10,-848,10448,11408,28256,12.682896,D_S_TI
2927,41,10,1008,8768,11232,28257,12.6968995,D_S_TI
2831,40,10,-448,10592,13040,28282,13.046987,D_S_TI
2823,40,10,-448,10592,13040,28283,13.0609905,D_S_TI
2823,40,10,160,10800,13312,28284,13.074994,D_S_TI
2816,40,10,704,11376,13824,28285,13.0889975,D_S_TI
2811,40,10,1600,11696,13936,28286,13.103001,D_S_TI
2801,40,10,2224,11536,14032,28287,13.1170045,D_S_TI
2793,40,10,3232,11776,13072,28288,13.131008,D_S_TI
2784,39,9,3472,11632,12624,28289,13.1450115,D_S_TI
2777,39,9,3488,11248,12672,28290,13.159015,D_S_TI
2773,39,9,3360,10832,12656,28291,13.1730185,D_S_TI
2769,39,10,3152,10432,12608,28292,13.187022,D_S_TI
2703,41,9,2800,12160,11104,28306,13.383071,D_S_TI
2701,41,8,2640,11936,11200,28307,13.3970745,D_S_TI
2698,41,8,2448,11520,11392,28308,13.411078,D_S_TI
2696,41,8,2576,11504,11760,28309,13.4250815,D_S_TI
2694,42,8,2544,11776,11872,28310,13.439085,D_S_TI
2692,42,8,2624,12224,11600,28311,13.4530885,D_S_TI
2688,42,8,2848,12608,11408,28312,13.467092,D_S_TI
2685,42,8,2912,12688,11600,28313,13.4810955,D_S_TI
2682,42,8,2832,12752,11456,28314,13.495099,D_S_TI
2679,42,8,2896,12384,11680,28315,13.5091025,D_S_TI
2678,43,8,2880,12256,11728,28316,13.523106,D_S_TI
2689,46,9,2560,11952,11632,28342,13.887197,D_S_TI
2689,46,10,2480,11904,11712,28342,13.887197,D_S_TI
2689,46,10,2480,11904,11712,28343,13.9012005,D_S_TI
2689,46,10,2512,11952,11824,28344,13.915204,D_S_TI
2689,46,10,2608,12096,11856,28345,13.9292075,D_S_TI
2688,46,10,2672,11984,11904,28346,13.943211,D_S_TI
2688,46,10,2800,12160,11664,28347,13.9572145,D_S_TI
2688,46,10,2928,12128,11776,28348,13.971218,D_S_TI
2688,46,10,2992,12096,11584,28349,13.9852215,D_S_TI
2688,46,10,2992,12160,11472,28350,13.999225,D_S_TI
2689,46,10,2736,12288,11424,28351,14.0132285,D_S_TI
2681,45,12,2288,12112,14096,28376,14.363316,D_S_TI
2679,44,12,2192,12464,14288,28377,14.3773195,D_S_TI
2677,44,12,2128,12320,14560,28378,14.391323,D_S_TI
2675,44,12,2080,11888,14416,28379,14.4053265,D_S_TI
2672,44,12,2048,11472,14336,28380,14.41933,D_S_TI
2669,44,12,2000,11232,14272,28381,14.4333335,D_S_TI
2667,44,12,1872,11232,14288,28382,14.447337,D_S_TI
2664,44,12,1536,11168,14320,28383,14.4613405,D_S_TI
2661,43,12,1248,10880,14272,28384,14.475344,D_S_TI
2653,43,11,992,10512,14352,28385,14.4893475,D_S_TI
2650,43,11,560,10496,14064,28386,14.503351,D_S_TI
2538,39,7,2848,10592,12880,28411,14.8534385,D_S_TI
2538,39,7,2848,10832,12672,28412,14.867442,D_S_TI
2536,39,7,3008,11168,12192,28413,14.8814455,D_S_TI
2535,39,7,2864,11152,12480,28414,14.895449,D_S_TI
2534,39,7,2688,11216,12464,28415,14.9094525,D_S_TI
2533,39,7,2432,11024,12688,28416,14.923456,D_S_TI
2531,39,7,1952,11024,12880,28417,14.9374595,D_S_TI
2527,39,7,1680,10816,13168,28418,14.951463,D_S_TI
2525,39,7,1408,11120,13664,28419,14.9654665,D_S_TI
2524,39,7,1264,11456,13568,28420,14.97947,D_S_TI
2523,39,7,1344,11600,13472,28421,14.9934735,D_S_TI
2520,41,8,2208,11264,12688,28446,15.343561,D_S_TI
2521,41,8,2208,11264,12688,28447,15.3575645,D_S_TI
2521,41,8,2080,11296,12896,28448,15.371568,D_S_TI
2521,41,8,1936,11248,12720,28449,15.3855715,D_S_TI
2522,41,8,1728,11360,12992,28450,15.399575,D_S_TI
2522,41,8,1632,11552,13136,28451,15.4135785,D_S_TI
2521,41,8,1744,11456,12896,28452,15.427582,D_S_TI
2521,41,8,1760,11328,12880,28453,15.4415855,D_S_TI
2520,41,8,1664,11184,12816,28454,15.455589,D_S_TI
2520,41,8,1680,11184,12656,28455,15.4695925,D_S_TI
2519,41,7,1728,11248,12624,28456,15.483596,D_S_TI
2521,42,8,1808,11216,12640,28482,15.847687,D_S_TI
2521,42,8,2016,11328,12832,28482,15.847687,D_S_TI
2521,42,8,2016,11328,12832,28483,15.8616905,D_S_TI
2521,42,8,2016,11504,12624,28484,15.875694,D_S_TI
2521,42,8,2048,11488,12672,28485,15.8896975,D_S_TI
2521,42,8,1792,11648,12512,28486,15.903701,D_S_TI
2521,42,8,1744,11408,12768,28487,15.9177045,D_S_TI
2521,42,8,1760,11328,12672,28488,15.931708,D_S_TI
2520,42,8,1632,11136,12624,28489,15.9457115,D_S_TI
2520,42,8,1408,11120,12624,28490,15.959715,D_S_TI
2519,42,8,1280,11088,12736,28491,15.9737185,D_S_TI
2513,42,8,1792,11360,12416,28517,16.3378095,D_S_TI
2513,42,8,1696,11168,12112,28517,16.3378095,D_S_TI
2512,42,8,1696,10912,12160,28518,16.351813,D_S_TI
2512,42,8,944,11760,11984,28519,16.3658165,D_S_TI
2512,42,8,16,10656,13072,28520,16.37982,D_S_TI
2510,42,7,208,9296,12944,28521,16.3938235,D_S_TI
2508,41,7,672,9904,13824,28522,16.407827,D_S_TI
2509,41,7,3408,10480,11840,28523,16.4218305,D_S_TI
2509,42,8,2992,12720,11952,28524,16.435834,D_S_TI
2508,41,8,2304,10592,13056,28525,16.4498375,D_S_TI
2508,41,8,3360,11088,12192,28526,16.463841,D_S_TI
2525,42,10,6512,10192,8752,28552,16.827932,D_S_TI
2525,42,10,6512,10192,8752,28553,16.8419355,D_S_TI
2529,42,11,6656,10368,9248,28554,16.855939,D_S_TI
2531,42,11,8048,9472,12272,28555,16.8699425,D_S_TI
2534,41,12,10032,8208,9136,28556,16.883946,D_S_TI
2535,41,13,7328,11968,13968,28557,16.8979495,D_S_TI
2531,40,12,-448,9872,20352,28558,16.911953,D_S_TI
2527,40,12,-160,9584,19520,28559,16.9259565,D_S_TI
2527,40,12,1488,10880,17888,28560,16.93996,D_S_TI
2530,40,12,2656,12176,17056,28561,16.9539635,D_S_TI
2532,40,12,3776,12400,16512,28562,16.967967,D_S_TI
2497,39,11,-2656,14400,12576,28587,17.3180545,D_S_TI
2493,39,11,-3248,15504,13200,28588,17.332058,D_S_TI
2485,39,10,-3248,15504,13200,28589,17.3460615,D_S_TI
2481,39,10,-2880,12384,14928,28590,17.360065,D_S_TI
2478,40,9,-144,17296,14176,28591,17.3740685,D_S_TI
2471,40,9,4128,14512,17136,28592,17.388072,D_S_TI
2459,39,9,7120,9056,15312,28593,17.4020755,D_S_TI
2444,39,9,7392,3504,15984,28594,17.416079,D_S_TI
2428,38,9,6096,-80,17408,28595,17.4300825,D_S_TI
2409,37,9,4800,-2272,19072,28596,17.444086,D_S_TI
2392,36,8,3776,-1536,19776,28597,17.4580895,D_S_TI
2223,35,6,768,8704,11136,28623,17.8221805,D_S_TI
2223,35,6,-64,8304,13136,28623,17.8221805,D_S_TI
2218,35,6,-864,8848,15088,28624,17.836184,D_S_TI
2214,35,6,-1440,10752,14656,28625,17.8501875,D_S_TI
2211,35,6,-1520,12512,13536,28626,17.864191,D_S_TI
2209,34,6,-1312,12960,13632,28627,17.8781945,D_S_TI
2207,34,6,-896,13248,14032,28628,17.892198,D_S_TI
2205,34,6,128,13520,13520,28629,17.9062015,D_S_TI
2203,34,7,464,13088,12976,28630,17.920205,D_S_TI
2200,34,7,1104,12352,13136,28631,17.9342085,D_S_TI
2198,34,6,1200,11664,13376,28632,17.948212,D_S_TI
2198,47,6,288,12688,11136,28658,18.312303,D_S_TI
2198,47,6,288,12688,11136,28658,18.312303,D_S_TI
2196,47,6,496,13232,11136,28659,18.3263065,D_S_TI
2194,47,6,960,13760,11024,28660,18.34031,D_S_TI
2193,47,6,1584,13936,10816,28661,18.3543135,D_S_TI
2192,47,6,2192,13968,10752,28662,18.368317,D_S_TI
2193,48,6,2480,13440,10432,28663,18.3823205,D_S_TI
2195,48,6,2192,12480,10816,28664,18.396324,D_S_TI
